,sno,state,City,Place,Best_time_to_visit,Distance,Place_desc
181,182,Andaman and Nicobar ,Andaman, 46. Rutland Island ,October-March, 34 km  from city center ," Rutland, lined with virgin beaches, is one of the lesser visited of all the islands located in the southern part of Great Andaman archipelago. "
182,183,Andaman and Nicobar ,Andaman, 47. Parrot Island ,October-March, 47 out of 82  places to visit in Andaman ," Parrot Island, a peculiar sort of home to thousands of fluttering parrots, looks like a whole new empire of wilderness born out of the salty waters of the Indian Ocean. Every day, hosts of green parrots arrive at the island as a part of their daily ritual, which is a spectacle to behold. Once in a while, we come across something so beautiful yet bizarre, exquisite yet inexplicable, that we find no words to quite describe it. Parrot Island is one such unparalleled destination, nestled quietly amidst the group of Baratang Islands of Andaman and Nicobar. This small island is part of a larger archipelago, all of which are laced with dense tropical forests and mangrove vegetation.  "
183,184,Andaman and Nicobar ,Andaman, 48. Diglipur ,October-March, 173 km  from city center ," Diglipur, a large island located in the North Andaman area, is a tourist hotspot and an ecological paradise. The island houses rows of tropical forests, mangroves, and lovely beaches rich in exotic marine life. "
184,185,Andaman and Nicobar ,Andaman, 49. Saddle Peak National Park ,October-March, 49 out of 82  places to visit in Andaman ," Saddle Peak National Park was established in 1987 in the Andaman district of the Andaman and Nicobar Islands. It is entirely uninhabited by human beings, thus making it safe for preserving wildlife and the environment. The long trip to the park makes it worth it upon experiencing its beauty.  "
185,186,Andaman and Nicobar ,Andaman, 50. Lalaji Bay Beach ,October-March, 80 km  from city center ," Located on Long Island, Lalaji Bay Beach is a picturesque attraction accessible by a small boat ride from Yerrata Jetty. The ride goes through a gorgeous Mangrove creek till the white sand beach. The pristine white sands and the crystal clear water of the Lalaji Bay Beach provide for a stunning place to relax and rejuvenate. "
186,187,Andaman and Nicobar ,Andaman, 51. Stewart Island Beach ,October-March, 51 out of 82  places to visit in Andaman ," While planning a visit to the spectacular Andaman and Nicobar, your itinerary must include the scenic Stewart Island Beach which lies near the Mayabunder. Located near the north of Diglipur Taluk, the beach is approximately in the middle of Andaman district. The beach known for its brown-black colour sand and a serene atmosphere is uninhabited. Stewart Island Beach also gets the most breathtaking rainbows to add on to its picturesque charm against the backdrop of the dancing waves. The island is small with an area of 7.05 km square. "
187,188,Andaman and Nicobar ,Andaman, 52. Limestone Caves Andaman ,October-March, 52 out of 82  places to visit in Andaman ," The naturally-formed limestone caves near Baratang island of Andaman are a favourite tourist spot for those who do not mind a long journey. The caves are only a destination as there is a long boat journey towards it. The caves, although beautiful, are not that easy to reach. One has to take a convoy through the Jarawa Forest land and ferry ride to Baratang Island before you can reach Limestone Caves in Andamans. Perfect for adventure-seekers and spelunkers, reaching these caves also requires a small trek. "
188,189,Lakshadweep Island,Lakshadweep, 1. Minicoy Island ,September-February, 208 km  from city center ," One of the 36 small islets of Lakshadweep group of Islands, Minicoy, also known as Maliku in the local language is one of the best-kept secrets of India. It is located amidst the vast expanse of Arabian Sea, just 398 km or 215 nautical miles from the shores of Cochin.  "
189,190,Lakshadweep Island,Lakshadweep, 2. Agatti Islands ,September-February, 180 km  from city center , Agatti Islands is considered another jewel from the Lakshadweep group of islands in India. The island is situated on one of the coral isles of Lakshadweep islands and is few of the islands from the Lakshadweep group that is inhabited by people. One may explore the island on foot or rent a two-wheeler to commute.  
190,191,Lakshadweep Island,Lakshadweep, 3. Bangaram Island ,September-February, 176 km  from city center ," Bangaram Island is a beautiful tiny island in the Union Territory of Lakshadweep, India. The Bangaram Island encompasses an area of 1.234 km2 and is the largest island in the chain of islands in the region (also known as an atoll) with a beautiful lagoon. With a population of only 10 and just one beach resort, it is an apt destination for people who want to disconnect entirely from the fast-paced world.  "
191,192,Lakshadweep Island,Lakshadweep, 4. Scuba Diving in Lakshadweep ,September-February, 211 km  from city center ," Scuba Diving in Lakshadweep is one of the most popular activities amongst travellers. Agatti, Bangaram and Kadmat islands are the three islands that prove a perfect setting for the Scuba. Each dive centre has attached resorts catering to the needs of beginners as well as those interested in CMAS and PADI courses by certified divers. The islands are also enriched with a diverse variety of tropical fishes, vibrant corals and other creatures like turtles, rays and coral sharks.  "
192,193,Lakshadweep Island,Lakshadweep, 5. Kavaratti Islands ,September-February, 123 km  from city center ," One of the prime destinations for tourists, this island has amazing white coral-sand beaches, calm and soothing lagoons and immense greenery! Like all other islands in the vicinity, this too is a nature lover's paradise! The dancing coconut leaves, smell of the salty ocean and the sound of the waves are something that any tourist will never forget. "
193,194,Lakshadweep Island,Lakshadweep, 6. Kalpeni Island ,September-February, 1 km  from city center ," Also known as Koefaini, Kalpeni islands is a group of three islands and is one of the most picturesque areas of Lakshadweep. Cheriyam, Pitti and Tillakkam are the islands which together forms the Kalpeni islands. "
194,195,Lakshadweep Island,Lakshadweep, 7. Water Sports ,September-February, 123 km  from city center ," Apart from admiring the nature, the next best thing on any vacationer's 'to-do list' should be water sports. There are plenty of opportunities for Scuba diving, Yachting, Pedal boating, Kayaking, Canoeing, Swimming, Snorkeling, etc. "
195,196,Lakshadweep Island,Lakshadweep, 8. Marine Museum ,September-February, 1 km  from city center ," Situated in Kavaratti, Marine museum showcases plethora of marine related artifacts and aims at promoting marine products and its preservation. The interesting thing about the museum is its aquarium which has few of the most striking species of sea fishes and water animals. "
196,197,Lakshadweep Island,Lakshadweep, 9. Kadmat ,September-February, 158 km  from city center ," Kadmat is one of the most popular islands for tourists. Famous for sun bathing, it is renowned for its pristine silvery white beaches. This really small island has a beautiful lagoon in its premises enclosed by coral reefs. "
197,198,Lakshadweep Island,Lakshadweep, 10. City Shopping ,September-February, 0 km  from city center , Coconut powder and oil can be bought from the factory at Kadmat Island. Fish pickles and small souvenirs are available at Kavaratti. 
198,199,Lakshadweep Island,Lakshadweep, 11. Amindivi Islands ,September-February, 153 km  from city center , One of the most habited islands of Lakshadweep; Amindivi is a group of islands lying in the North Lakshadweep and is famous for its choir products. It is an ideal place for those seeking to experience the local culture and markets of Lakshadweep. 
199,200,Lakshadweep Island,Lakshadweep, 12. Andretti Island ,September-February, 82 km  from city center ," Also known as Andrott Island, this is the largest island of Lakshadweep and is located closest to the Indian mainland. Unlike other islands, Andretti islands are in east-west direction. "
200,201,Lakshadweep Island,Lakshadweep," 13. Lighthouse, Minicoy Island ",September-February, 1 km  from city center ," Built in the late 19th century back in 1885 in the Minicoy Island is one of the oldest lighthouses in Lakshadweep. Standing tall at 300 feet, the view from the top is absolutely mesmerizing. "
201,202,Lakshadweep Island,Lakshadweep, 14. Yacht Cruise ,September-February, 14 out of 15  places to visit in Lakshadweep ," Lakshadweep Islands are a perfect destination to go on a luxury Yacht Cruise. Sailing amidst indigo blue waters and divine white sands, the experience is going to be a memorable one and is sure to stay with you for a long time. You might also be able to spot exotic fish and turtles while you are out there. Besides giving you the bliss of thrill and adventure, this is one of the most pristine things to do in Lakshadweep. "
202,203,Lakshadweep Island,Lakshadweep, 15. Parasailing in Lakshadweep ,September-February, 15 out of 15  places to visit in Lakshadweep ," Parasailing is one of the most thrilling activities that you can enjoy at several places in Lakshadweep. You are set sail in the air through steam and jet boats and the experience is going to be like no place else. Besides, enjoying a 360 degree bird's eye view of the sand and the sea, parasailing above the clear waters will give you a high adrenaline rush and an experience that you will surely never forget. "
203,204,Goa,Goa, 1. Fun time in Calangute Beach ,November-February, 10 km  from city center ," Calangute is the largest beach in north Goa stretching from Candolim to Baga. It is a hub for tourists and backpackers as it is the perfect place to look for accommodation. It is known for the beach shacks and water sports like parasailing, water surfing, banana ride and jet-skiing.  "
204,205,Goa,Goa, 2. Fort Aguada ,November-February, 6 km  from city center , Fort Aguada is a 17th-century Portuguese fort looking out at the confluence of Mandovi River and the Arabian Sea. The crumbling ramparts of the fort stand on the Sinquerim Beach. The highlight of the fort is a lone four-storey lighthouse (which is one-of-its-kind in Asia) and a stunning view of the sunset. 
205,206,Goa,Goa, 3. Dine on a Cruise ,November-February, 1 km  from city center ," Cruise in Goa allows one to explore the exotic scenery, pristine waters and marvel the breathtaking view of the sunset. There are several types of cruises in Goa ranging from simple evening cruises, elaborate and romantic dinner cruises, backwater cruises, and casino cruises. All of these usually originate from Miramar Beach in Panjim. "
206,207,Goa,Goa, 4. Water Sports in Goa ,November-February, 26 km  from city center ," Goa is a haven for water sports like kneeboarding, kite surfing, snorkelling, parasailing, paragliding, diving, and kayaking. The water sports in Goa can be enjoyed at any one of the beaches in the north or the south. You can also engage in your favorite activities through a number of licensed water sports package operators. "
207,208,Goa,Goa, 5. Behold to Dudhsagar Waterfalls ,November-February, 52 km  from city center ," One of India's tallest waterfalls, the Dudhsagar Falls is located inside the Mollem National Park. The Dudhsagar falls should be visited during the monsoon when it is in full flow and the surrounding deciduous forests are at their verdant best. "
208,209,Goa,Goa, 6. Adventures of Anjuna Beach ,November-February, 13 km  from city center ," Anjuna Beach is among the most popular beaches in North Goa, stretching almost 2km. From family outings to adrenaline-filled adventures, Anjuna Beach is famed for its golden coastline, nightclubs, beach shacks, watersports, full-moon parties and flea markets. "
209,210,Goa,Goa, 7. Chapora Fort ,November-February, 16 km  from city center ," Chapora Fort is undeniably one of the most famous forts in Goa. More popularly known as the 'Dil Chahta Hai Fort', its claim to fame was the 2001 Bollywood blockbuster shot here. A scintillating escape, it offers beautiful views of the sea and Chapora River. "
210,211,Goa,Goa, 8. Thalassa  ,November-February, 15 km  from city center ," Thalassa- The Greek Taverna is one of the most popular restaurants in Goa. Having moved out to the backwaters along with Siolim (from its prior location of Vagator hilltop), it is famous for its signature cocktails and sunsets. Reverberating with the cultural flavour of Greece, it serves authentic Greek Mediterranean cuisine. "
211,212,Goa,Goa, 9. Basilica of Bom Jesus ,November-February, 9 km  from city center ," The Basilica of Bom Jesus Church is a UNESCO World Heritage Site. It houses the tomb and remains of St. Francis Xavier. Even after 400 years, the remains are in a good condition and are taken out once every decade. "
212,213,Goa,Goa, 10. Go Clubbing by the Baga Beach ,November-February, 10 km  from city center ," One of the most popular beaches in North Goa, Baga Beach is located close to Calangute beach, around 30 Km North of Panjim. It is the perfect destination to witness the dazzling nightlife of Goa as signature places such as Britto's, Tito's and Mambos are located in the vicinity. It is also known for a vast range of water sports. "
213,214,Goa,Goa, 11. Butterfly Beach ,November-February, 56 km  from city center ," A little to the south of Palolem in Canacona region of Goa lies the Butterfly Beach. This beach, also known as Honeymoon Beach, is one of the most secluded and lesser-known beaches of Goa. The beach is mostly accessible by a boat (ferry) ride from the nearby beaches. "
214,215,Goa,Goa, 12. Divar Island ,November-February, 9 km  from city center ," Divar Island is a slice of heaven tucked away in dense woods amidst the beauty of nature. Connected to Old Goa only through ferry service, this island is synonymous with natural beauty, serenity and tranquillity. "
215,216,Goa,Goa, 13. Scuba Diving in Goa ,November-February, 14 km  from city center ," Goa is one of the few places in India offering scuba diving. Diving in Goa is not the best owing to limited underwater visibility, but it is still popular among tourists as it is a good destination for beginners to explore the delights of the underwater world. The absence of strong water current with occasional surges adds serenity to the activity. "
216,217,Goa,Goa, 14. Go Shopping in Goa ,November-February, 2 km  from city center ," For carrying back an authentic Goan experience with you, you can buy some feni, cashew-nuts, Goan hats and handicrafts. There are lots of shops in Panjim, the capital where you can buy interesting stuff. Goa is also known for its hand-painted ceramics. "
217,218,Goa,Goa, 15. Explore Dona Paula ,November-February, 5 km  from city center ," Dona Paula is one of the most popular tourist hangouts in Goa famous for its vast stretch of beach. The small beach is also popular as the Lover's Paradise and features a jetty (Dona Paula Jetty) adjacent to it, which provides an ethereal view of the Arabian Sea and Mormugao harbour. "
218,219,Goa,Goa, 16. Arambol Beach ,November-February, 25 km  from city center ," Beautiful and serene, Arambol Beach is among the best beaches of North Goa and is relatively unexploited by tourist activities. Considered to be one of the most spectacular beaches in Goa, Arambol beach has a distinct Bohemian feel to it, which attracts tourists from all over the world. "
219,220,Goa,Goa, 17. Vagator Beach ,November-February, 15 km  from city center ," Vagator beach is one of the most beautiful beaches in Goa. It is famous for its soft white sands and imposing but beautiful rocky cliffs. The beach is divided into two major parts, namely Little Vagator, also known as Ozran Beach, and Big Vagator. It is also popular for its sweeping panoramic views, beach shacks and trance parties. "
220,221,Goa,Goa, 18. Fontainhas and Sao Tome ,November-February, 0 km  from city center , Fontainhas and Sao Tome is a beautiful Latin Quarter located in Panaji on the banks of the Ourem Creek and named after the natural springs nearby. It was laid out on a piece of land acquired by a Goan in the 18th century who had made a fortune in Mozambique. The quarter is now recognised as a heritage site and is famous for its charming Portuguese style houses on the base of the Altinho hills. 
221,222,Goa,Goa, 19. Church of Our Lady of the Immaculate Conception ,November-February, 0 km  from city center ," Located in Panjim, Our Lady of Immaculate Conception is one of the oldest chapels in Goa. It is known to house the second largest church bells in Goa. The view of the sunset and the church lit up at night is a soothing sight to witness. "
222,223,Goa,Goa," 20. Party at the Tito's, Calangute ",November-February, 10 km  from city center ," Titos nightclub is one of the top things to do in Goa for most tourists. Located in Calangute, Tito's is one of the most famous nightclubs in Goa. The entire lane in Baga, where the pub is located is popularly called Tito lane.  "
223,224,Goa,Goa, 21. Brittos ,November-February, 11 km  from city center ," Be it during the season or off-season, you cannot NOT come here if you're in Goa. It is amongst the best shacks in Baga Beach and is just perfect if you're seeking the company of the sea and the sand while you sip on that beer.  "
224,225,Goa,Goa," 22. Mambos, Calangute ",November-February, 10 km  from city center ," Located in the famous Titos lane, Mambos is a popular nightclub in Goa. The open-air lounge encircles a dancing area with a host of Indian and international DJs playing every night. They also serve a variety of Hookahs. "
225,226,Goa,Goa," 23. Club LPK - Love Passion Karma, Candolim ",November-February, 5 km  from city center ," Club LPK is one of the most popular nightlife spots in Goa. Surrounded by water on three sides, it was shifted to Nerul from its original location. The nightclub has generally some good DJs playing a mix of house, trance, and Bollywood music. "
226,227,Goa,Goa, 24. Anjuna Flea Market ,November-February, 12 km  from city center ," Anjuna Flea Market on Wednesday is a treasure trove of trinkets, handicrafts, hippie clothing, souvenirs and everything else from cheap bags to footwear and junk jewellery. Also popular as the queen of hippie flea markets, the Anjuna Flea Market as much a part of the Goa experience as the beaches. "
227,228,Goa,Goa, 25. Relax at the Palolem beach ,November-February, 58 km  from city center ," Palolem Beach, located in the South Goa is one of the most beautiful beaches of the Union Territory has to offer. Mostly unspoiled, the beach is often flocked with foreign tourists.  "
228,229,Goa,Goa, 26. Bungee Jumping in Goa ,November-February, 56 km  from city center ," Located near one of the most popular beaches in Goa that is obviously Anjuna Beach, the Gravity Adventure Zone conduct Bungee Jumping from a height of 80 ft and has been installed by a US based company- Sports tower Inc.

It is one of the lowest Bungee jumping site and is good for a first try and is priced at a reasonable rate.
 "
229,230,Goa,Goa, 27. Rejuvenate by Spas and Massages ,November-February, 8 km  from city center , Goa is full of spa resorts and Ayurvedic massage centers. Beachside massages are also available at some beaches. Various spas of Goa which are preferred by the tourists from all around the world are Sereno Spa and Leela Kempinski Goa Spa Center. 
230,231,Goa,Goa, 28. Colva Beach ,November-February, 26 km  from city center ," One of the most happening beaches in South Goa, Colva beach is mainly renowned for its shopping and phenomenal nightlife. The beach is full of shacks and eating joints.  "
231,232,Goa,Goa, 29. Morjim Beach ,November-February, 18 km  from city center ," Morjim is sometimes referred to as ""Little Russia"" owing to the large population of Russian immigrants staying here. Morjim beach is home to exotic species of birds and some rare endangered animals such as sea turtles. "
232,233,Goa,Goa, 30. Casino ,November-February, 0 km  from city center ," Located on a yacht in River Mandovi, the casino is one of the coolest places to be when you're in the party state. The entry fee is placed high at Rs. 1600, and the casino holds ample number of tables of American Roulette, Blackjack and Rummy. Go ahead and try your luck! "
233,234,Goa,Goa, 31. Agonda Beach ,November-February, 53 km  from city center ," If you're looking for a place away from the hustle bustle of the crowd with more space and solitude, Agonda beach is the right place for you. With the clear blue water and coconut trees, this beach is a delight for nature lovers. "
234,235,Goa,Goa, 32. Candolim Beach ,November-February, 7 km  from city center ," Candolim Beach lies around 15 kms ahead of Panjim, along the stretch of Fort Aguada. Forming a part of the trio of Calangute, Baga and Candolim party beaches in Goa, this beach is known for its pulsating nightlife and thrilling water sports. "
235,236,Goa,Goa, 33. Se Cathedral ,November-February, 9 km  from city center ," Se Cathedral, or Sé Catedral de Santa Catarina, is one of the largest churches in Asia. Located in Old Goa, it is dedicated to Saint Catherine. It is a famous landmark in Goa exhibiting Portuguese-Manueline architectural style. "
236,237,Goa,Goa, 34. Cavelossim Beach ,November-February, 38 km  from city center ," With magnificent black rocks that contrast with the white sand shores of this idyllic beach, the Cavelossim Beach is located in South Goa. Cleaner and quieter than the cliched party beaches of Goa, it is the perfect spot for travellers looking to enjoy the endless expanse of the clear blue waters.  "
237,238,Goa,Goa, 35. Patnem Beach ,November-February, 60 km  from city center ," Situated in Canacona, South Goa, Patnem Beach is one of the most secluded and tranquil beaches of Goa. It is the perfect place to laze by the beach and do absolutely nothing. The waters are quite safe to swim in, and the views of the sunset are magnificent and uninterrupted. "
238,239,Goa,Goa, 36. Betalbatim Beach ,November-February, 24 km  from city center ," Located in South Goa between Colva Beach and Majorda Beach, Betalbatim Beach is one of the quieter beaches of Goa. Lined with a plethora of fast food chains, local restaurants and spas, the highlight of the beach is the easy spotting of the dolphins. You can ask the local fishermen who can hike you a ride in a sea to have a glimpse of the dolphins. "
239,240,Goa,Goa, 37. Fort Tiracol ,November-February, 29 km  from city center ," Across the Terekhol river from the Querim beach in North Goa lies the majestic Tiracol Fort. Once a crucial part of the maritime defence, it now serves as Fort Tiracol Heritage Hotel. It is popular for an unbeatable panoramic view of the Arabian Sea. "
240,241,Goa,Goa, 38. Grande Island ,November-February, 17 km  from city center ," Originally known as Iha Grande, Grande Island in Goa is one of the most sought after destinations, owing to its serene and tranquil environment and the availability of a plethora of thrilling activities like snorkeling, dolphin spotting, and scuba diving. "
241,242,Goa,Goa, 39. Bhagwan Mahavir Sanctuary ,November-February, 53 km  from city center ," Bhagwan Mahavir Sanctuary is a 240 sq km protected natural habitat located in the Western Ghats of India, on the Goa-Karnataka border. Touted to be Goa's largest wildlife reserve, it is home to the famous Dudhsagar Falls, Mollem National Park, Tambdi Surla Temple, and Devil's Canyon among other attractions. "
242,243,Goa,Goa, 40. Arvalem Waterfalls ,November-February, 22 km  from city center ," One of the most beautiful spots to visit in North Goa, Arvalem Waterfalls is located in Sanquelim. Also known as Harvalem Falls, it forms a huge pool of water at its base - almost as big as a lake. This makes Arvalem Falls a popular tourist and picnic spot.  "
243,244,Goa,Goa, 41. Mollem National Park ,November-February, 41 out of 184  places to visit in Goa , Mollem National Park part of the famous Bhagwan Mahavir Wildlife Sanctuary is the biggest national park in Goa that takes you on a fascinating wildlife adventure. Jeep safaris take the tourists right into the heart of the dense forest reserve. 
244,245,Goa,Goa, 42. Sunburn Festival ,November-February, 14 km  from city center ," Ranked amongst few of the world’s best music festivals, Sunburn Music Festival tops the list of every Electronic Music fan’s bucket list. It is mostly famous for its extravagance, fantastic music and noteworthy artist line-up. "
245,246,Goa,Goa, 43. Carnival in Goa ,November-February, 43 out of 184  places to visit in Goa ," The Goa Carnival is a legacy of the Portuguese rule and has grown from being a quiet event to a popular, massive scale festival, attracting thousands of tourists from India and abroad. One of the most awaited occasions in the state, the carnival has a long history of its origin, stretching back right to the ancient Roman Empire. The atmosphere is charged with spectacular parades, dances, musical events and the great food, all of which are major crowd pullers. Festivities occur in the cities of Panjim, Mapusa, Margao, and Vasco da Gama, with Panjim having it the largest of all "
246,247,Goa,Goa, 44. Church of St. Cajetan ,November-February, 9 km  from city center ," The Church of Saint Cajetan, located in Old Goa close to the Se Cathedral, is one of the most beautiful churches in Goa. The only surviving domed structure in Goa, the church is admired for its wonderful and graceful architecture that reminds you of Basilica of St. Peter in Rome. "
247,248,Goa,Goa, 45. Bambolim Beach ,November-February, 6 km  from city center ," Bambolim Beach is a pristine beach located in Bambolim in North Goa, 7 kilometres away from Panjim. It is famous for being a virgin beach, untouched by commercialization and is barely ever crowded.  "
248,249,Goa,Goa, 46. Butterfly Conservatory Of Goa ,November-February, 21 km  from city center ," The Butterfly Conservatory of Goa is a butterfly sanctuary and garden in the Ponda district of Goa. Spread over 4000 square metres, it is designed as a place to stroll and absorb in the serene beauty of nature. In the vast expanses of the garden, one can take a leisurely walk and observe over a hundred different species of butterflies from close quarters.  "
249,250,Goa,Goa, 47. Sri Mahadeva Temple ,November-February, 46 km  from city center ," Sri Mahadeva Temple, Tambdi Surla is one of the oldest temples in Goa to Lord Shiva. The inner sanctum of temple has a Shiva Linga mounted on a raised pedestal. There is also a statue of headless Nandi. The locals believe that there is a huge king cobra permanently sitting near the Shiva Linga. "
250,251,Goa,Goa, 48. Church of St Francis of Assisi ,November-February, 9 km  from city center , Church of St Francis of Assisi is a 16th-century Portuguese church located near Se Cathedral in Goa. It is a famous landmark which exhibits an eclectic mix of stunning architecture and intricate carvings.  
251,252,Goa,Goa, 49. Cabo de Rama Beach ,November-February, 45 km  from city center ," Cabo de Rama Beach is a beautiful secluded beach located in Margao, South Goa. Surrounded by tall coconut trees, this beach is perfect for setting up a picnic, playing volleyball, or just spending some quality time.  "
252,253,Goa,Goa, 50. Monastery Of St Augustine ,November-February, 8 km  from city center ," Church Of St. Augustine is a ruined church complex which was once the biggest church in Goa. Located near Nunnery of Santa Monica in Old Goa, there stands a solo tower (called St Augustine Tower) out of the four towers once forming the Church Of St. Augustine.  "
253,254,Goa,Goa, 51. Savoi Plantation ,November-February, 19 km  from city center ," Savoi Spice Plantation is a 40-hectare organic farm located 15km from Ponda. Established by Mr Shetye, the beautifully maintained farm is popular for the guided tour of the intercrop plantation and the Goan Saraswat Buffet at its Sadauli Restaurant. "
254,255,Goa,Goa, 52. Ashwem Beach ,November-February, 20 km  from city center ," Ashwem Beach is one of the few beaches left in Goa that is yet to be discovered by the mainstream tourist crowd of Goa, offering its visitors an endless expanse of pearly white sands complemented well by the beautiful waves of the Arabian Sea. Surfing and Yoga are widely practised here. "
255,256,Rajasthan,Udaipur, 1. City Palace ,October-March, 0 km  from city center ," City Palace is Rajasthan's largest palace built along the banks of Lake Pichola. The main part of the palace is open as City Palace Museum with extravagant architecture comprising of ornate halls, royal courtyard, central garden and Zenana Mahal among others. "
256,257,Rajasthan,Udaipur, 2. Sunset Cruising over Lake Pichola ,October-March, 1 km  from city center ," The oldest and one of the largest lakes of Udaipur, Lake Pichola is enveloped by lofty palaces, temples, and bathing ghats. Boating in Lake Pichola is the most popular thing to do in Udaipur. Boats are easily available from Rameshwar Ghat if visiting from the City Palace. Otherwise, take a boat trip from Lal Ghat. "
257,258,Rajasthan,Udaipur, 3. Sajjangarh Palace ,October-March, 6 km  from city center ," Also known as Monsoon Palace, Sajjangarh Palace is located at Bansdara Mountain on the outskirts of Udaipur. It was built by Maharana Sajjan Singh as an astronomical observatory. Now it serves as one of the best places to view the Udaipur skyline and panoramic city view, particularly at sunset. "
258,259,Rajasthan,Udaipur, 4. Bagore Ki Haveli ,October-March, 1 km  from city center ," Bagore ki Haveli is situated in the Gangaur Ghat Marg, along Lake Pichola. It was built in the 18th century by Amar Chand Badwa, the Prime Minister of Mewar. The haveli houses more than 100 rooms with elaborate exhibits and mirror work. It also houses a museum. The Dharohar Dance Show that is held here every evening. "
259,260,Rajasthan,Udaipur, 5. Jag Mandir palace ,October-March, 1 km  from city center ," Also known as the Lake Garden Palace, Jag Mandir is located on an island in Lake Pichola. It was once the summer resort of the royal family. The grand palace comprises some impressive structures worth visiting. Jag Mandir can only be visited by boat. "
260,261,Rajasthan,Udaipur, 6. Eklingji Temple ,October-March, 20 km  from city center ," Almost 22km away from Udaipur, Eklingji Temple is dedicated to Lord Shiva. Taking a cab to this temple is the most convenient way to reach it. It is one of the most famous temples of Rajasthan, also known for its remarkable architecture. "
261,262,Rajasthan,Udaipur, 7. Ahar Cenotaphs ,October-March, 3 km  from city center ," Ahar Museum, which essentially includes the Ahar Cenotaphs as well as the Ahar Archaeological Museum, is located in Ahar which is about 2km east of Udaipur, Rajasthan. This historical attraction is famous for being the cremation ground of the Maharanas of Mewar and for its beautiful architecture. "
262,263,Rajasthan,Udaipur, 8. Jagdish Temple ,October-March, 0 km  from city center , Jagdish Temple is one of the most famous temples in and around Udaipur. It is dedicated to Lord Vishnu in the form of Jagannath. The temple is also popular for its striking architecture. Jagdish Temple is located 150m from City Palace's Badi Pol entrance and has a steep flight of steps to the top. 
263,264,Rajasthan,Udaipur, 9. Boating over Fateh Sagar Lake ,October-March, 4 km  from city center , Fateh Sagar Lake is an artificial lake named after Maharana Fateh Singh of Udaipur and Mewar. It is one of the four lakes in Udaipur and houses Nehru Island and the Udaipur Solar Observatory on its three islands. Boating here in the backdrop of Aravali is a must-do activity.  
264,265,Rajasthan,Udaipur, 10. Saheliyon Ki Bari ,October-March, 4 km  from city center ," A majestic garden located on one of the islands of Fateh Sagar Lake, Saheliyon-ki-Bari has expansive lawns, shady cool walking lanes and imposing fountains. There is also a small museum here. It is one of the best places in Udaipur to relax. "
265,266,Rajasthan,Udaipur, 11. Ambrai Ghat ,October-March, 1 km  from city center ," Ambrai Ghat, also known as Manjhi Ghat Udaipur is one of the best and the most popular ghats in Udaipur. This place is filled with local people as well as tourists. In the early morning hours, you can find peace and solace with old citizens of Udaipur who do Yoga, bathe into lakes, and do several other activities. In the evening, you can enjoy the city lights and appreciate the detailed view of the Heritage Hotels like Lake Palace Udaipur, Jag Mandir, Shiv Niwas etc from the ghat.  "
266,267,Rajasthan,Udaipur, 12. Admire the nature in Gulabh Bagh and Zoo ,October-March, 0 km  from city center ," Gulab Bagh Zoo is located in the most abundant garden called Gulab Bagh and implicit to the name it has a variety of well-maintained roses. The mini zoo within the garden is a short walk away from the rose gardens. A very few numbers of species of animals are housed in this zoo including the wide-eyed owls and has enough places to visit within the vicinity like the toy train which is open to the kids and the adults. There is an enormous artificial water body called Kamal Talai which adds to the palace like the beauty of the Garden and a Navlakha Mahal, a religious place for parents to visit. "
267,268,Rajasthan,Udaipur, 13. View the Sunset at Jaisamand Lake ,October-March, 47 km  from city center ," Jaisamand Lake, also known as Dhebar Lake, is the second-largest artificial lake in India. Hawa Mahal, Ruthi Rani ka Mahal, Jaisamand Wildlife Sanctuary and Jaisamand Island Resort are located on its shores and islands. "
268,269,Rajasthan,Udaipur, 14. Under The Sun Aquarium ,October-March, 4 km  from city center ," The Udaipur Fish Aquarium, formally known as the Under the Sun Aquarium, is located near Vibhuti Park and Fateh Sagar Lake, and is actually the largest Public Aquarium Gallery in India. Along with hundreds of fish species and other aquatic creatures, it also houses virtual reality experience and 3D arts. "
269,270,Rajasthan,Udaipur, 15. Sukhadia Circle ,October-March, 3 km  from city center ," Sukhadia Circle, also called The Heart Of Panchvati, is located In the north of the Udaipur city. This splendid turn around Panchwati is a small pond amidst which lies a 21 Ft high three-tiered fountain. "
270,271,Rajasthan,Udaipur, 16. Vintage Car Museum ,October-March, 1 km  from city center , Located just a few kilometers away from the magnificent City Palace Vintage Car Museum is an awesome place for automobile and car lovers.  
271,272,Rajasthan,Udaipur, 17. Bharatiya Lok Kala Museum ,October-March, 3 km  from city center ," If you are interested in artifacts and curious to know how of making these items then Bharatiya Lok kala Museum is definitely the place for you. Located to the north of Chetak circle in Udaipur, the museum has a fine collection of paintings, folk musical instruments, folk dresses and ornaments, dolls, masks, puppets and idols of Gods and Goddesses. "
272,273,Rajasthan,Udaipur, 18. Shilp Gram ,October-March, 5 km  from city center ," Located at the foot hills of Aravali Mountains in Udaipur, Shilpgram is a craftsmen's village which encloses twenty-six huts constructed in traditional architectural styles and these huts display many house hold decorative articles. "
